n_components,accuracy,time
10,47.99456152277362,9.887027502059937
20,60.9789259007478,12.917905330657959
30,58.25968728755948,16.057657718658447
40,59.14343983684568,22.200477123260498
50,50.101971447994565,26.190312385559082
60,61.18286879673691,32.335922718048096
70,62.8144119646499,37.55539345741272
80,66.82528891910266,43.17559576034546
90,54.452753229095855,49.96749019622803
100,69.88443235893949,54.087846994400024
110,60.84296397008837,59.61412167549133
120,68.79673691366418,61.49627709388733
130,62.67845003399049,63.21533131599426
140,61.250849762066615,70.19470691680908
150,60.9789259007478,87.33591628074646
160,62.8144119646499,84.14494681358337
170,48.60639021074099,90.6286461353302
180,63.49422161794698,94.71241998672485
190,62.8144119646499,102.7318012714386
200,57.51189666893269,107.37446427345276
210,57.10401087695445,112.689199924469
220,60.84296397008837,117.14340996742249
230,63.7661454792658,117.36227440834045
240,44.39157036029911,124.38292098045349
250,61.454792658055744,128.8756663799286
260,43.43983684568321,132.13239073753357
270,63.35825968728756,137.3261535167694
280,65.80557443915703,143.63149857521057
290,57.036029911624745,148.24274325370789
300,72.33174711080898,156.15472793579102
310,61.1148878314072,156.12181401252747
320,44.731475186947655,160.58507990837097
330,50.713800135961925,165.20976209640503
340,50.781781101291635,168.30962562561035
350,62.20258327668253,175.48345160484314
360,62.06662134602311,178.8358597755432
370,58.939496940856564,186.64678311347961
380,60.36709721278042,192.0124282836914
390,52.88919102651257,191.92580604553223
400,62.95037389530931,195.76570582389832
410,60.23113528212101,198.62288236618042
420,60.84296397008837,205.52485823631287
430,67.09721278042147,208.32273483276367
440,62.06662134602311,212.6733696460724
450,61.65873555404487,215.72606587409973
460,58.59959211420802,222.27143359184265
470,44.86743711760707,243.07241702079773
480,44.52753229095853,308.89649081230164
490,69.74847042828009,288.3533158302307
500,70.29231815091774,296.76743268966675
