ID,Value
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,5
48,5
49,5
50,4
51,5
52,5
53,5
54,5
55,5
56,2
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,5
83,5
84,1
85,1
86,5
87,5
88,5
89,5
90,1
91,1
92,1
93,1
94,1
95,2
96,5
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,5
105,1
106,1
107,5
108,5
109,5
110,5
111,3
112,3
113,3
114,2
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,5
136,2
137,2
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,2
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,2
156,3
157,3
158,3
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,5
196,5
197,5
198,5
199,5
200,5
201,4
202,4
203,4
204,2
205,2
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,3
229,3
230,1
231,1
232,1
233,1
234,1
235,1
236,3
237,3
238,1
239,1
240,1
241,1
242,1
243,3
244,3
245,3
246,1
247,1
248,1
249,1
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,2
282,3
283,2
284,5
285,2
286,2
287,2
288,3
289,3
290,3
291,3
292,5
293,3
294,3
295,3
296,3
297,3
298,2
299,2
300,2
301,3
302,3
303,1
304,2
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,1
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,2
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,2
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,2
372,2
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,2
386,1
387,1
388,1
389,5
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,2
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,3
418,3
419,3
420,3
421,3
422,2
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,5
440,2
441,2
442,5
443,2
444,5
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,5
460,5
461,3
462,3
463,3
464,2
465,3
466,3
467,3
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,4
520,4
521,2
522,2
523,1
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,2
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,3
555,1
556,1
557,1
558,1
559,3
560,2
561,1
562,1
563,1
564,3
565,3
566,1
567,1
568,1
569,3
570,1
571,1
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,2
598,3
599,2
600,3
601,3
602,3
603,3
604,2
605,5
606,3
607,3
608,3
609,2
610,3
611,3
612,2
613,2
614,2
615,3
616,3
617,3
618,3
619,3
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,2
639,4
640,4
641,4
642,4
